GID,CP_CD,SGG_NM,HE_SEID,CPH_NM,CPH_FULL_N,CAC_CD,APM_NO,SID_CD,SGG_CD,AREA_SZ,CREATE_DT,CREATOR_ID,UPDATE_DT,UPDATER_ID,AREA_SZ2,MIN_SCALE,MAX_SCALE,URL,centroid_longitude,centroid_latitude
246,18000008000000036,구례군,HE0000147485,구례 운조루 고택,구례 운조루 고택(국가민속문화유산 제8호),18,0000080000000,ADDR460000,ADD1467300,5134.5,,,,,5130.111215,,,,127.51563094541034,35.20601807648548
247,15000029000000032,양양군,HE0000144806,구룡령 옛길,구룡령 옛길(명승 제29호),15,0000290000000,ADDR510000,ADD1518300,25006.74,,,,,24980.491017,,,,128.50882325171574,37.89444529052932
160,18000131000000032,고성군,HE0000148546,고성 어명기 고택,고성 어명기 고택(국가민속문화유산 제131호),18,0001310000000,ADDR510000,ADD1518200,1340.29,,,,,1338.273943,,,,128.51787997167025,38.314790874738165
161,18000235000000032,고성군,HE0000147291,고성 왕곡마을,고성 왕곡마을(국가민속문화유산 제235호),18,0002350000000,ADDR510000,ADD1518200,179767.88,,,,,179578.946781,,,,128.50006886679242,38.34051175055612
162,12001337000000032,고성군,HE0000145997,고성 육송정 홍교,고성 육송정 홍교(보물 제1337호),12,0013370000000,ADDR510000,ADD1518200,47.53,,,,,47.722196,,,,128.3983799308726,38.38665969660317
163,12000246000000037,의성군,HE0000148361,의성 고운사 석조여래좌상,의성 고운사 석조여래좌상(보물 제246호),12,0002460000000,ADDR470000,ADD1477300,85.75,,,,,85.515412,,,,128.75074468570457,36.45856233964367
166,16000463000000035,고창군,HE0000144199,고창 문수사 단풍나무 숲,고창 문수사 단풍나무 숲(천연기념물 제463호),16,0004630000000,ADDR520000,ADD1527900,120069.13,,,,,119982.711738,,,,126.72405461740973,35.38075941856318
167,13000250000000035,고창군,HE0000147077,고창 분청사기 요지,고창 분청사기 요지(사적 제250호),13,0002500000000,ADDR520000,ADD1527900,16639.55,,,,,16630.193237,,,,126.65621329334095,35.539831793262174
169,18000039000000035,고창군,HE0000148731,고창 신재효 고택,고창 신재효 고택(국가민속문화유산 제39호),18,0000390000000,ADDR520000,ADD1527900,1090.51,,,,,1089.835395,,,,126.70305139668129,35.43221388065874
170,18000014000000035,고창군,HE0000148867,고창 오거리 당산,고창 오거리 당산(국가민속문화유산 제14호),18,0000140000000,ADDR520000,ADD1527900,2.29,,,,,2.284775,,,,126.69969367636962,35.43305732076082
174,16000239000000036,고흥군,HE0000148815,고흥 금탑사 비자나무 숲,고흥 금탑사 비자나무 숲(천연기념물 제239호),16,0002390000000,ADDR460000,ADD1467700,131000.0,,,,,130892.84772,,,,127.28685284379296,34.54322274956575
175,16000362000000036,고흥군,HE0000148437,고흥 외나로도 상록수림,고흥 외나로도 상록수림(천연기념물 제362호),16,0003620000000,ADDR460000,ADD1467700,21660.33,,,,,21641.169164,,,,127.4683328569138,34.47137286694291
