GID,CP_CD,SGG_NM,HE_SEID,CPH_NM,CPH_FULL_N,CAC_CD,APM_NO,SID_CD,SGG_CD,AREA_SZ,CREATE_DT,CREATOR_ID,UPDATE_DT,UPDATER_ID,AREA_SZ2,MIN_SCALE,MAX_SCALE,URL,centroid_longitude,centroid_latitude
582,11000007000000034,천안시,HE0000146398,천안 봉선홍경사 갈기비,천안 봉선홍경사 갈기비(국보 제7호),11,0000070000000,ADDR440000,ADD1441300,4.0,,,,,3.989024,,,,127.13471104279941,36.94315442855689
558,12000943000000036,보성군,HE0000148959,보성 우천리 삼층석탑,보성 우천리 삼층석탑(보물 제943호),12,0009430000000,ADDR460000,ADD1467800,5.47,,,,,5.459459,,,,127.2303714054712,34.799951569020166
493,15000055000000035,무주군,HE0000149213,무주구천동 일사대 일원,무주구천동 일사대 일원(명승 제55호),15,0000550000000,ADDR520000,ADD1527300,51566.84,,,,,51524.21195,,,,127.76669481405831,35.95913102407631
494,15000056000000035,무주군,HE0000149212,무주구천동 파회·수심대 일원,무주구천동 파회·수심대 일원(명승 제56호),15,0000560000000,ADDR520000,ADD1527300,53250.16,,,,,53202.447891,,,,127.7543639643298,35.930058363163745
434,12001569000000034,논산시,HE0000146492,논산 돈암서원 응도당,논산 돈암서원 응도당(보물 제1569호),12,0015690000000,ADDR440000,ADD1442300,211.63,,,,,211.435497,,,,127.18087281909487,36.208845663331076
435,12000383000000011,종로구,HE0000145689,창덕궁 돈화문,창덕궁 돈화문(보물 제383호),12,0003830000000,ADDR110000,ADD1111100,465.5,,,,,465.566774,,,,126.9899723598746,37.57787354317527
1664,15000086000000038,함양군,HE0000148339,함양 화림동 거연정 일원,함양 화림동 거연정 일원(명승 제86호),15,0000860000000,ADDR480000,ADD1488700,20047.76,,,,,20047.758448,,,,127.73731467799956,35.62690696783229
438,13000192000000021,동래구,HE0000147473,부산 동래 패총,부산 동래 패총(사적 제192호),13,0001920000000,ADDR260000,ADD1262600,1391.98,,,,,1390.353447,,,,129.08881530661063,35.19729892758381
439,13000266000000021,영도구,HE0000147527,부산 동삼동 패총,부산 동삼동 패총(사적 제266호),13,0002660000000,ADDR260000,ADD1262000,7855.24,,,,,7845.507804,,,,129.07988628719843,35.07040210936487
440,15000037000000032,동해시,HE0000143863,동해 무릉계곡,동해 무릉계곡(명승 제37호),15,0000370000000,ADDR510000,ADD1511700,1740109.2,,,,,1738100.248494,,,,129.00240532182755,37.4567384901126
441,12001277000000032,동해시,HE0000148903,동해 삼화사 삼층석탑,동해 삼화사 삼층석탑(보물 제1277호),12,0012770000000,ADDR510000,ADD1511700,3.91,,,,,3.916863,,,,129.01450165189425,37.4635725992366
1665,15000089000000036,화순군,HE0000148340,화순 임대정 원림,화순 임대정 원림(명승 제89호),15,0000890000000,ADDR460000,ADD1467900,11085.51,,,,,11085.512273,,,,127.09514875146706,34.9997207641686
394,12001563000000022,동구,HE0000146479,대구 동화사 대웅전,대구 동화사 대웅전(보물 제1563호),12,0015630000000,ADDR270000,ADD1271400,258.25,,,,,257.691712,,,,128.70362542192225,35.993455114084625
395,13000262000000022,동구,HE0000147523,대구 불로동 고분군,대구 불로동 고분군(사적 제262호),13,0002620000000,ADDR270000,ADD1271400,312676.78,,,,,312331.040764,,,,128.6474111862992,35.91363979819547
468,13000258000000011,중구,HE0000148699,서울 명동성당,서울 명동성당(사적 제258호),13,0002580000000,ADDR110000,ADD1111400,1667.67,,,,,1666.817077,,,,126.98729721282722,37.56324117641505
1896,12001902000000050,제주특별자치도,,제주향교 대성전,제주향교 대성전(보물 제1902호),12,0019020000000,ADDR500000,ADD1501100,8428.0,,,,,,,,,126.51560114622764,33.51153459165244
357,18000190000000034,논산시,HE0000147688,논산 명재고택,논산 명재고택(국가민속문화유산 제190호),18,0001900000000,ADDR440000,ADD1442300,7998.72,,,,,7992.144927,,,,127.13150242726006,36.28194111882637
358,12001307000000036,고흥군,HE0000146039,고흥 능가사 대웅전,고흥 능가사 대웅전(보물 제1307호),12,0013070000000,ADDR460000,ADD1467700,427.06,,,,,426.975063,,,,127.41409479128788,34.63880113445221
359,11000199000000037,경주시,HE0000145600,경주 단석산 신선사 마애불상군,경주 단석산 신선사 마애불상군(국보 제199호),11,0001990000000,ADDR470000,ADD1471300,124.21,,,,,124.062053,,,,129.08195149262906,35.79682611572606
444,12000247000000022,동구,HE0000148362,대구 동화사 비로암 삼층석탑,대구 동화사 비로암 삼층석탑(보물 제247호),12,0002470000000,ADDR270000,ADD1271400,5.47,,,,,5.498816,,,,128.7021437675165,35.99210757825621
445,12000244000000022,동구,HE0000148359,대구 동화사 비로암 석조비로자나불좌상,대구 동화사 비로암 석조비로자나불좌상(보물 제244호),12,0002440000000,ADDR270000,ADD1271400,1.2,,,,,1.225699,,,,128.7021453322734,35.992267614912706
446,12000831000000036,순천시,HE0000148479,순천 동화사 삼층석탑,순천 동화사 삼층석탑(보물 제831호),12,0008310000000,ADDR460000,ADD1461500,4.41,,,,,4.439747,,,,127.39474907472837,34.8731015972274
447,12000243000000022,동구,HE0000148358,대구 동화사 마애여래좌상,대구 동화사 마애여래좌상(보물 제243호),12,0002430000000,ADDR270000,ADD1271400,148.63,,,,,148.241269,,,,128.7011359191074,35.9856658623244
448,15000066000000036,해남군,HE0000151702,두륜산 대흥사 일원,두륜산 대흥사 일원(명승 제66호),15,0000660000000,ADDR460000,ADD1468200,8708653.0,,,,,8672127.181129,,,,126.6182677850969,34.48162725967158
454,13000240000000038,창원시,HE0000149104,창원 성산 패총,창원 성산 패총(사적 제240호),13,0002400000000,ADDR480000,ADD1481100,54262.5,,,,,54201.736061,,,,128.67955231827173,35.208234340958214
411,12000320000000036,해남군,HE0000148204,해남 대흥사 삼층석탑,해남 대흥사 삼층석탑(보물 제320호),12,0003200000000,ADDR460000,ADD1468200,18.33,,,,,18.288104,,,,126.61716363463717,34.47725432275604
414,12000819000000011,중구,HE0000149139,덕수궁 중화전 및 중화문,덕수궁 중화전 및 중화문(보물 제819호),12,0008190000000,ADDR110000,ADD1111400,1915.86,,,,,1914.400691,,,,126.97474030648624,37.56545532472084
415,12000820000000011,중구,HE0000149140,덕수궁 함녕전,덕수궁 함녕전(보물 제820호),12,0008200000000,ADDR110000,ADD1111400,568.67,,,,,567.982937,,,,126.97589386334603,37.56594983386652
424,12000350000000022,달성군,HE0000145469,달성 도동서원 중정당·사당·담장,달성 도동서원 중정당·사당·담장(보물 제350호),12,0003500000000,ADDR270000,ADD1277100,95.38,,,,,95.031226,,,,128.3703544738971,35.70146326441292
427,12000211000000037,안동시,HE0000147971,안동 도산서원 상덕사 및 삼문,안동 도산서원 상덕사 및 삼문(보물 제211호),12,0002110000000,ADDR470000,ADD1471700,138.98,,,,,138.82599,,,,128.8436563651902,36.72750278464137
500,12001574000000037,문경시,HE0000149222,문경 봉암사 극락전,문경 봉암사 극락전(보물 제1574호),12,0015740000000,ADDR470000,ADD1472800,72.31,,,,,72.201949,,,,128.00638752595623,36.7002566416804
416,12000406000000033,제천시,HE0000145545,제천 덕주사 마애여래입상,제천 덕주사 마애여래입상(보물 제406호),12,0004060000000,ADDR430000,ADD1431500,6.9,,,,,6.888256,,,,128.10490632800784,36.86982901289598
418,13000292000000031,김포시,HE0000148167,김포 덕포진,김포 덕포진(사적 제292호),13,0002920000000,ADDR410000,ADD1415700,49219.38,,,,,49185.993057,,,,126.53442396838788,37.652663667783216
419,12001395000000036,영암군,HE0000145240,영암 도갑사 도선국사·수미선사비,영암 도갑사 도선국사·수미선사비(보물 제1395호),12,0013950000000,ADDR460000,ADD1468300,8.33,,,,,8.302245,,,,126.66530858111284,34.75448723335851
338,18000020000000035,남원시,HE0000148802,남원 서천리 당산,남원 서천리 당산(국가민속문화유산 제20호),18,0000200000000,ADDR520000,ADD1521900,0.19,,,,,0.187337,,,,127.52925486085206,35.44120341948728
340,12000423000000035,남원시,HE0000146126,남원 신계리 마애여래좌상,남원 신계리 마애여래좌상(보물 제423호),12,0004230000000,ADDR520000,ADD1521900,5.4,,,,,5.387899,,,,127.30192499799739,35.43454034295495
341,18000015000000035,남원시,HE0000148868,남원 실상사 석장승,남원 실상사 석장승(국가민속문화유산 제15호),18,0000150000000,ADDR520000,ADD1521900,3.01,,,,,3.005867,,,,127.63762669576815,35.41749307617166
343,13000480000000031,광주시,HE0000142612,남한산성 행궁,남한산성 행궁(사적 제480호),13,0004800000000,ADDR410000,ADD1416100,19273.7,,,,,19258.875591,,,,127.18160170883775,37.47877966068475
344,16000499000000038,남해군,HE0000146697,남해 가인리 화석산지,남해 가인리 화석산지(천연기념물 제499호),16,0004990000000,ADDR480000,ADD1488400,12858.2,,,,,12845.662452,,,,128.05142232380635,34.885262705249275
345,15000015000000038,남해군,HE0000145033,남해 가천마을 다랑이 논,남해 가천마을 다랑이 논(명승 제15호),15,0000150000000,ADDR480000,ADD1488400,225211.2,,,,,224998.87241,,,,127.89351980455194,34.729435421173875
346,15000039000000038,남해군,HE0000146482,남해 금산,남해 금산(명승 제39호),15,0000390000000,ADDR480000,ADD1488400,556720.9,,,,,556177.205863,,,,127.98197479212487,34.75453143876982
360,12000371000000038,진주시,HE0000146462,산청 사월리 석조여래좌상,산청 사월리 석조여래좌상(보물 제371호),12,0003710000000,ADDR480000,ADD1481700,85.16,,,,,85.078832,,,,128.08332144803936,35.17503210301836
361,12000072000000038,산청군,HE0000146443,산청 단속사지 동 삼층석탑,산청 단속사지 동 삼층석탑(보물 제72호),12,0000720000000,ADDR480000,ADD1488600,25.94,,,,,25.979865,,,,127.89985529353244,35.32122565703199
362,12000073000000038,산청군,HE0000146444,산청 단속사지 서 삼층석탑,산청 단속사지 서 삼층석탑(보물 제73호),12,0000730000000,ADDR480000,ADD1488600,27.44,,,,,27.428694,,,,127.8995885213875,35.321222160724645
364,15000046000000033,단양군,HE0000146519,단양 구담봉,단양 구담봉(명승 제46호),15,0000460000000,ADDR430000,ADD1438000,159697.11,,,,,159539.774329,,,,128.24919511204303,36.93606584027002
396,13000411000000022,달서구,HE0000148865,대구 진천동 입석,대구 진천동 입석(사적 제411호),13,0004110000000,ADDR270000,ADD1272900,3960.95,,,,,3955.917652,,,,128.52201617057122,35.80998752615983
397,13000355000000025,대덕구,HE0000148747,대전 계족산성,대전 계족산성(사적 제355호),13,0003550000000,ADDR300000,ADD1302300,86180.06,,,,,86106.591093,,,,127.45423879685828,36.394178261353126
398,12000834000000037,청도군,HE0000148482,청도 대비사 대웅전,청도 대비사 대웅전(보물 제834호),12,0008340000000,ADDR470000,ADD1478200,173.13,,,,,172.976251,,,,128.93610608118172,35.65639697354551
399,12000275000000036,곡성군,HE0000146900,곡성 태안사 광자대사탑비,곡성 태안사 광자대사탑비(보물 제275호),12,0002750000000,ADDR460000,ADD1467200,2.34,,,,,2.322512,,,,127.3869356937071,35.13109479051533
400,12000274000000036,곡성군,HE0000146899,곡성 태안사 광자대사탑,곡성 태안사 광자대사탑(보물 제274호),12,0002740000000,ADDR460000,ADD1467200,2.32,,,,,2.317024,,,,127.38693556056835,35.13116273658451
402,16000246000000032,양구군,HE0000148820,대암산·대우산 천연보호구역,대암산·대우산 천연보호구역(천연기념물 제246호),16,0002460000000,ADDR510000,ADD1518000,44117856.0,,,,,44074674.106383,,,,128.109421439676,38.241178767504984
403,12000003000000011,종로구,HE0000145812,서울 원각사지 대원각사비,서울 원각사지 대원각사비(보물 제3호),12,0000030000000,ADDR110000,ADD1111100,8.45,,,,,8.427377,,,,126.98863455723688,37.57106968361216
404,12001112000000038,산청군,HE0000148940,산청 대원사 다층석탑,산청 대원사 다층석탑(보물 제1112호),12,0011120000000,ADDR480000,ADD1488600,2.89,,,,,2.902588,,,,127.80673604974055,35.35607293024108
405,12000836000000037,청도군,HE0000148803,청도 대적사 극락전,청도 대적사 극락전(보물 제836호),12,0008360000000,ADDR470000,ADD1478200,87.75,,,,,87.731876,,,,128.71954018493108,35.71594145322908
406,12000217000000034,부여군,HE0000148532,부여 대조사 석조미륵보살입상,부여 대조사 석조미륵보살입상(보물 제217호),12,0002170000000,ADDR440000,ADD1447600,12.02,,,,,11.955207,,,,126.90039081278631,36.19100210923993
407,13000248000000011,종로구,HE0000147071,서울 대한의원,서울 대한의원(사적 제248호),13,0002480000000,ADDR110000,ADD1111100,5088.0,,,,,5084.091941,,,,126.99902237389497,37.57851085382519
408,11000308000000036,해남군,HE0000144770,해남 대흥사 북미륵암 마애여래좌상,해남 대흥사 북미륵암 마애여래좌상(국보 제308호),11,0003080000000,ADDR460000,ADD1468200,79.98,,,,,79.994763,,,,126.63115441590439,34.47483774906248
409,12000301000000036,해남군,HE0000146893,해남 대흥사 북미륵암 삼층석탑,해남 대흥사 북미륵암 삼층석탑(보물 제301호),12,0003010000000,ADDR460000,ADD1468200,4.88,,,,,4.896377,,,,126.63090003824206,34.47482770496706
366,15000044000000033,단양군,HE0000146517,단양 도담삼봉,단양 도담삼봉(명승 제44호),15,0000440000000,ADDR430000,ADD1438000,82998.45,,,,,82916.868227,,,,128.34389344409254,37.000652134549426
367,15000047000000033,단양군,HE0000146520,단양 사인암,단양 사인암(명승 제47호),15,0000470000000,ADDR430000,ADD1438000,5458.28,,,,,5452.795839,,,,128.34052911362178,36.89462477082108
369,13000398000000033,단양군,HE0000148783,단양 수양개 유적,단양 수양개 유적(사적 제398호),13,0003980000000,ADDR430000,ADD1438000,212131.86,,,,,211918.17665,,,,128.32711981406882,36.95650452738908
370,11000198000000033,단양군,HE0000145599,단양 신라 적성비,단양 신라 적성비(국보 제198호),11,0001980000000,ADDR430000,ADD1438000,0.88,,,,,0.923859,,,,128.32102430384762,36.944434273285765
372,16000261000000033,단양군,HE0000147376,단양 온달동굴,단양 온달동굴(천연기념물 제261호),16,0002610000000,ADDR430000,ADD1438000,307472.8,,,,,307155.240558,,,,128.49143147154976,37.060724569435564
373,13000264000000033,단양군,HE0000147525,단양 온달산성,단양 온달산성(사적 제264호),13,0002640000000,ADDR430000,ADD1438000,31650.3,,,,,31618.469816,,,,128.4848859402629,37.057760266397324
374,13000265000000033,단양군,HE0000147526,단양 적성,단양 적성(사적 제265호),13,0002650000000,ADDR430000,ADD1438000,64754.13,,,,,64689.352553,,,,128.32184598786597,36.944441634044246
375,18000145000000033,단양군,HE0000144868,단양 조덕수 고택,단양 조덕수 고택(국가민속문화유산 제145호),18,0001450000000,ADDR430000,ADD1438000,1370.08,,,,,1368.698597,,,,128.38373901078003,37.0033701992508
378,18000104000000022,달성군,HE0000144012,달성 삼가헌 고택,달성 삼가헌 고택(국가민속문화유산 제104호),18,0001040000000,ADDR270000,ADD1277100,2449.2,,,,,2446.525543,,,,128.41325518971198,35.90716553851327
381,15000057000000036,담양군,HE0000149218,담양 식영정 일원,담양 식영정 일원(명승 제57호),15,0000570000000,ADDR460000,ADD1467100,28045.89,,,,,28024.157598,,,,127.00231298851364,35.188646207870704
383,13000353000000036,담양군,HE0000148745,담양 금성산성,담양 금성산성(사적 제353호),13,0003530000000,ADDR460000,ADD1467100,1385001.1,,,,,1383935.514767,,,,127.03150774252678,35.38492201365772
665,12000094000000033,제천시,HE0000145180,제천 사자빈신사지 사사자 구층석탑,제천 사자빈신사지 사사자 구층석탑(보물 제94호),12,0000940000000,ADDR430000,ADD1431500,3.03,,,,,3.004387,,,,128.083273215497,36.85732829149606
666,13000450000000038,사천시,HE0000145360,사천 늑도 유적,사천 늑도 유적(사적 제450호),13,0004500000000,ADDR480000,ADD1482400,161031.75,,,,,160875.269193,,,,128.0370804783394,34.92311284469089
667,12000614000000038,사천시,HE0000147995,사천 흥사리 매향비,사천 흥사리 매향비(보물 제614호),12,0006140000000,ADDR480000,ADD1482400,1.67,,,,,1.642697,,,,128.01494896303583,35.086585001808174
1768,13000017000000037,경상북도,,경주 남고루,경주 남고루(사적 제17호),13,0000170000000,ADDR470000,ADD1471300,50134.0,,,,,,,,,129.2196091522259,35.840028827120136
670,12001114000000038,산청군,HE0000148942,산청 대포리 삼층석탑,산청 대포리 삼층석탑(보물 제1114호),12,0011140000000,ADDR480000,ADD1488600,16.63,,,,,16.619878,,,,127.80595963437122,35.29452737030602
673,18000009000000038,통영시,HE0000147486,삼덕리 마을제당,삼덕리 마을제당(국가민속문화유산 제9호),18,0000090000000,ADDR480000,ADD1482200,40.93,,,,,40.889208,,,,128.38325392817373,34.79925491493481
674,13000130000000023,강화군,HE0000147547,강화 삼랑성,강화 삼랑성(사적 제130호),13,0001300000000,ADDR280000,ADD1287100,17130.41,,,,,17118.928331,,,,126.48480169583455,37.63287554918427
675,13000134000000050,제주시,HE0000147551,제주 삼성혈,제주 삼성혈(사적 제134호),13,0001340000000,ADDR500000,ADD1501100,23430.3,,,,,23414.527127,,,,126.52875007954997,33.5043357380934
676,13000101000000011,송파구,HE0000148626,서울 삼전도비,서울 삼전도비(사적 제101호),13,0001010000000,ADDR110000,ADD1117100,159.38,,,,,159.192655,,,,127.10163090179887,37.510525895661836
1762,12001770000000011,서울특별시,,창덕궁 연경당,창덕궁 연경당(보물 제1770호),12,0017700000000,ADDR110000,ADD1111100,282.0,,,,,,,,,126.99235894066368,37.583300493921755
1833,13000363000000031,경기도,,남양주 광해군묘,남양주 광해군묘(사적 제363호),13,0003630000000,ADDR410000,ADD1413600,59168.0,,,,,,,,,127.2058202314197,37.65747468549566
677,18000223000000032,삼척시,HE0000143665,삼척 대이리 굴피집,삼척 대이리 굴피집(국가민속문화유산 제223호),18,0002230000000,ADDR510000,ADD1512300,634.89,,,,,634.120514,,,,129.0144984237081,37.32380082320072
678,18000221000000032,삼척시,HE0000143663,삼척 대이리 너와집,삼척 대이리 너와집(국가민속문화유산 제221호),18,0002210000000,ADDR510000,ADD1512300,621.25,,,,,620.405468,,,,129.0140454171737,37.32394787254013
680,18000222000000032,삼척시,HE0000143664,삼척 대이리 통방아,삼척 대이리 통방아(국가민속문화유산 제222호),18,0002220000000,ADDR510000,ADD1512300,17.83,,,,,17.777787,,,,129.01531530800165,37.32369706770179
681,13000421000000032,삼척시,HE0000147281,삼척 두타산 이승휴 유적,삼척 두타산 이승휴 유적(사적 제421호),13,0004210000000,ADDR510000,ADD1512300,34439.14,,,,,34393.823484,,,,129.04356347962818,37.44425230160901
682,18000033000000032,삼척시,HE0000148955,삼척 신리 너와집과 민속유물,삼척 신리 너와집과 민속유물(국가민속문화유산 제33호),18,0000330000000,ADDR510000,ADD1512300,1766.1,,,,,1764.022163,,,,129.1339949759366,37.19181226221289
692,16000069000000037,상주시,HE0000149195,상주 운평리 구상화강암,상주 운평리 구상화강암(천연기념물 제69호),16,0000690000000,ADDR470000,ADD1472500,13933.94,,,,,13923.002108,,,,128.20700701364274,36.3819342025793
685,16000226000000032,삼척시,HE0000148469,삼척 초당굴,삼척 초당굴(천연기념물 제226호),16,0002260000000,ADDR510000,ADD1512300,85549.06,,,,,85451.141329,,,,129.18461866782002,37.38247616730364
686,12000657000000011,은평구,HE0000148084,서울 삼천사지 마애여래입상,서울 삼천사지 마애여래입상(보물 제657호),12,0006570000000,ADDR110000,ADD1113800,102.97,,,,,102.928849,,,,126.95282644285614,37.6424599952535
707,12000141000000011,종로구,HE0000148236,서울 문묘 및 성균관<대성전·동무·서무·삼문·명륜당>,서울 문묘 및 성균관<대성전·동무·서무·삼문·명륜당>(보물 제141호),12,0001410000000,ADDR110000,ADD1111100,2599.0,,,,,2597.005961,,,,126.99598537165633,37.58556024460835
1783,12001575000000037,경상북도,,성주향교 대성전 및 명륜당,성주향교 대성전 및 명륜당(보물 제1575호),12,0015750000000,ADDR470000,ADD1478400,17283.0,,,,,,,,,128.2903855958397,35.927079111846844
757,16000420000000050,서귀포시,HE0000148523,성산일출봉 천연보호구역,성산일출봉 천연보호구역(천연기념물 제420호),16,0004200000000,ADDR500000,ADD1501300,5018749.5,,,,,5015025.772513,,,,126.93944001850619,33.460994848722464
758,18000072000000050,서귀포시,HE0000148958,제주 성읍마을 대장간집,제주 성읍마을 대장간집(국가민속문화유산 제72호),18,0000720000000,ADDR500000,ADD1501300,241.13,,,,,240.999318,,,,126.80188390085716,33.38625199737204
759,18000069000000050,서귀포시,HE0000144414,제주 성읍마을 고평오 고택,제주 성읍마을 고평오 고택(국가민속문화유산 제69호),18,0000690000000,ADDR500000,ADD1501300,1145.0,,,,,1144.350493,,,,126.80174498776225,33.38594055497556
760,18000188000000050,서귀포시,HE0000144415,제주 성읍마을,제주 성읍마을(국가민속문화유산 제188호),18,0001880000000,ADDR500000,ADD1501300,798636.9,,,,,798067.150875,,,,126.79948841647446,33.38799955675757
761,18000070000000050,서귀포시,HE0000148956,제주 성읍마을 고창환 고택,제주 성읍마을 고창환 고택(국가민속문화유산 제70호),18,0000700000000,ADDR500000,ADD1501300,791.78,,,,,791.024728,,,,126.80009756041578,33.38728037338556
697,18000199000000034,서산시,HE0000146999,서산 경주김씨 고택,서산 경주김씨 고택(국가민속문화유산 제199호),18,0001990000000,ADDR440000,ADD1442100,1539.84,,,,,1538.876768,,,,126.51921967528831,36.74109593267845
713,11000001000000011,중구,HE0000145810,서울 숭례문,서울 숭례문(국보 제1호),11,0000010000000,ADDR110000,ADD1111400,832.9,,,,,832.26863,,,,126.97530241422918,37.559982353677846
727,13000369000000023,강화군,HE0000148538,강화 석릉,강화 석릉(사적 제369호),13,0003690000000,ADDR280000,ADD1287100,767.0,,,,,766.809172,,,,126.45376901079806,37.667203842807254
688,13000477000000037,상주시,HE0000142609,상주 복룡동 유적,상주 복룡동 유적(사적 제477호),13,0004770000000,ADDR470000,ADD1472500,59846.35,,,,,59786.806876,,,,128.1701402113649,36.41901217448954
689,12000119000000037,상주시,HE0000145965,상주 복용동 석조여래좌상,상주 복용동 석조여래좌상(보물 제119호),12,0001190000000,ADDR470000,ADD1472500,1.45,,,,,1.459486,,,,128.16203829893934,36.41693419308178
690,12000683000000037,상주시,HE0000145479,상주 상오리 칠층석탑,상주 상오리 칠층석탑(보물 제683호),12,0006830000000,ADDR470000,ADD1472500,16.25,,,,,16.158592,,,,127.90209036488385,36.537663540613174
693,12000118000000037,상주시,HE0000146622,상주 증촌리 석조여래입상,상주 증촌리 석조여래입상(보물 제118호),12,0001180000000,ADDR470000,ADD1472500,0.4,,,,,0.405358,,,,128.17156113899495,36.56813927839386
694,12000120000000037,상주시,HE0000145966,상주 증촌리 석조여래좌상,상주 증촌리 석조여래좌상(보물 제120호),12,0001200000000,ADDR470000,ADD1472500,2.36,,,,,2.348248,,,,128.17156654199286,36.56815289810192
695,12000117000000037,상주시,HE0000146621,상주 화달리 삼층석탑,상주 화달리 삼층석탑(보물 제117호),12,0001170000000,ADDR470000,ADD1472500,16.09,,,,,16.120497,,,,128.22319291898927,36.444784045441104
696,12000009000000031,용인시,HE0000146132,용인 서봉사지 현오국사탑비,용인 서봉사지 현오국사탑비(보물 제9호),12,0000090000000,ADDR410000,ADD1414600,0.82,,,,,0.826995,,,,127.03875798286161,37.337786839937706
384,15000040000000036,담양군,HE0000146483,담양 소쇄원,담양 소쇄원(명승 제40호),15,0000400000000,ADDR460000,ADD1467100,4382.38,,,,,4379.535183,,,,127.01223655183463,35.18410740328469
385,12000505000000036,담양군,HE0000145775,담양 객사리 석당간,담양 객사리 석당간(보물 제505호),12,0005050000000,ADDR460000,ADD1467100,2.61,,,,,2.612028,,,,126.99236985279248,35.32060175862844
386,12000506000000036,담양군,HE0000145776,담양 남산리 오층석탑,담양 남산리 오층석탑(보물 제506호),12,0005060000000,ADDR460000,ADD1467100,10.75,,,,,10.721831,,,,126.99179906955392,35.319920477854865
43,12000292000000035,부안군,HE0000148293,부안 개암사 대웅전,부안 개암사 대웅전(보물 제292호),12,0002920000000,ADDR520000,ADD1528000,267.38,,,,,267.192901,,,,126.64982052182494,35.66282275505382
556,16000418000000036,보성군,HE0000148521,보성 비봉리 공룡알 화석산지,보성 비봉리 공룡알 화석산지(천연기념물 제418호),16,0004180000000,ADDR460000,ADD1467800,250304.77,,,,,250105.086111,,,,127.18692501170354,34.69856012652281
557,18000162000000036,보성군,HE0000148044,보성 열화정,보성 열화정(국가민속문화유산 제162호),18,0001620000000,ADDR460000,ADD1467800,2051.36,,,,,2049.679334,,,,127.18795289933705,34.763832578346076
559,12000944000000036,보성군,HE0000147262,보성 유신리 마애여래좌상,보성 유신리 마애여래좌상(보물 제944호),12,0009440000000,ADDR460000,ADD1467800,116.0,,,,,115.788338,,,,127.23024790296462,34.86903760974873
561,18000158000000036,보성군,HE0000148041,보성 이승래 고택,보성 이승래 고택(국가민속문화유산 제158호),18,0001580000000,ADDR460000,ADD1467800,5213.56,,,,,5209.454078,,,,127.0338211532145,34.74155195525674
562,18000160000000036,보성군,HE0000148043,보성 이준회 고택,보성 이준회 고택(국가민속문화유산 제160호),18,0001600000000,ADDR460000,ADD1467800,1735.09,,,,,1733.670142,,,,127.18643162074655,34.76316564360935
563,18000163000000036,보성군,HE0000148045,보성 이용우 고택,보성 이용우 고택(국가민속문화유산 제163호),18,0001630000000,ADDR460000,ADD1467800,2241.96,,,,,2240.277019,,,,127.03293446832929,34.74094118420869
564,18000159000000036,보성군,HE0000148042,보성 이진래 고택,보성 이진래 고택(국가민속문화유산 제159호),18,0001590000000,ADDR460000,ADD1467800,2338.45,,,,,2336.240742,,,,127.18667174224329,34.76294747520808
566,12000105000000034,서산시,HE0000145969,서산 보원사지 법인국사탑,서산 보원사지 법인국사탑(보물 제105호),12,0001050000000,ADDR440000,ADD1442100,4.47,,,,,4.4708,,,,126.6007641601902,36.76124475630091
567,12000106000000034,서산시,HE0000146149,서산 보원사지 법인국사탑비,서산 보원사지 법인국사탑비(보물 제106호),12,0001060000000,ADDR440000,ADD1442100,6.03,,,,,6.026857,,,,126.60081960878071,36.76116178787963
568,12000103000000034,서산시,HE0000146438,서산 보원사지 당간지주,서산 보원사지 당간지주(보물 제103호),12,0001030000000,ADDR440000,ADD1442100,5.03,,,,,4.969722,,,,126.60249514221154,36.76167191507576
570,12000104000000034,서산시,HE0000146439,서산 보원사지 오층석탑,서산 보원사지 오층석탑(보물 제104호),12,0001040000000,ADDR440000,ADD1442100,12.81,,,,,12.878341,,,,126.60137122816747,36.76153630748087
628,18000192000000034,부여군,HE0000147360,부여 여흥민씨 고택,부여 여흥민씨 고택(국가민속문화유산 제192호),18,0001920000000,ADDR440000,ADD1447600,3220.76,,,,,3218.680318,,,,126.92289805595344,36.26584193343923
630,13000089000000034,부여군,HE0000147243,부여 석성산성,부여 석성산성(사적 제89호),13,0000890000000,ADDR440000,ADD1447600,210513.6,,,,,210353.175481,,,,126.97873595982192,36.23875787573682
597,15000023000000037,봉화군,HE0000144010,봉화 청량산,봉화 청량산(명승 제23호),15,0000230000000,ADDR470000,ADD1479200,4082314.2,,,,,4077673.358366,,,,128.9113998434443,36.78500901618845
634,12000184000000034,부여군,HE0000147892,부여 장하리 삼층석탑,부여 장하리 삼층석탑(보물 제184호),12,0001840000000,ADDR440000,ADD1447600,6.11,,,,,6.124775,,,,126.9470230539603,36.23533530169268
635,18000193000000034,부여군,HE0000147361,부여 군수리 고택,부여 군수리 고택(국가민속문화유산 제193호),18,0001930000000,ADDR440000,ADD1447600,854.13,,,,,853.031897,,,,126.90637272056173,36.26397433370693
636,13000301000000034,부여군,HE0000148259,부여 정림사지,부여 정림사지(사적 제301호),13,0003010000000,ADDR440000,ADD1447600,39180.17,,,,,39152.349081,,,,126.91367447007582,36.27977338495586
637,12000108000000034,부여군,HE0000146151,부여 정림사지 석조여래좌상,부여 정림사지 석조여래좌상(보물 제108호),12,0001080000000,ADDR440000,ADD1447600,5.84,,,,,5.838896,,,,126.91334240916319,36.27982181905446
