NTFDATE,ALIAS,REMARK,MNUM,SGG_OID,COL_ADM_SE,centroid_longitude,centroid_latitude
,,,61100001130520200568ZA00060912824,2.0,11305,126.98933237756593,37.65494321344587
,,,61100001130520200568ZA00060912724,3.0,11305,127.00727487776642,37.63275135263154
,,,61100001130520200568ZA00060912624,4.0,11305,126.99729451686783,37.63945796537775
,,,61100001130520200568ZA00060912524,5.0,11305,126.99616553990548,37.638431428950106
,,,61100001130520200568ZA00060912424,6.0,11305,126.99872882282934,37.64040578546557
,,,61100001141020200335ZA00060001003,4.0,11410,126.94777807810921,37.572173622806446
,,,61100001141020200568ZA00060001001,1.0,11410,126.92343162474118,37.58063294374149
,,,61100001141020200568ZA00060001002,3.0,11410,126.91403558212137,37.578210408933344
,,,61100001150020200568ZA00060001003,1.0,11500,126.80575933568393,37.58316246457386
,,,61100001150020200568ZA00060001001,2.0,11500,126.83981652667649,37.57307810961474
,,,61100001150020200568ZA00060001002,3.0,11500,126.85050342097917,37.56848934184042
20201224,,,61100001159020200568ZA00060001001,1.0,11590,126.95581253384024,37.51287121756955
,강감찬 생가터,,61100001162020200568ZA00061224002,42.0,11620,126.96083170113147,37.474963864870226
,봉천동 마얘미륵불좌상,,61100001162020220568ZA00061224002,44.0,11620,126.9686330159887,37.46207741453386
,낙성대 삼층석탑,,61100001162020200568ZA00061224001,43.0,11620,126.96045320088857,37.4711209746616
